No.,Test-Code,Cathode,Anode,Anode Solution,Anode Thickness (μ),Anode Foil,NEC Layer,NEC (Watt),NEC (Minute),Protect Layer,Protect (Watt),Protect (Time),Combined Mass,Energy Discharge Cycle 1,Energy Discharge Cycle 2,Energy Discharge Cycle 3,Energy Discharge Cycle 4,Energy Discharge Cycle 5,Energy Discharge Cycle 6,Energy Discharge Cycle 7,Energy Discharge Cycle 8,Energy Discharge Cycle 9,Energy Discharge Cycle 10,Energy Discharge Cycle 15,Energy Discharge Cycle 20,Energy Discharge Cycle 30,Energy Discharge Cycle 50,Energy Discharge Cycle 100
1,20210526-141649-05-5,NMC,PVdF,811,50,Al,,,,,,,0.0679,0.468,0.67,0.766,0.708,0.097,0.569,3.241,3.66,3.63,3.556,1.679,,,,
2,20210526-141911-05-6,NMC,PVdF,811,50,Al,,,,,,,0.072,0.28,0.312,0.333,0.349,0.365,0.379,0.393,0.404,0.413,0.418,0.422,0.411,0.373,0.337,
3,20210526-142136-05-7,NMC,PVdF,811,50,Al,CuBFO,100,20,Cu,20,2,0.0698,2.03,2.041,1.697,0.825,0.817,0.907,0.907,0.907,0.907,0.907,0.907,,,,
4,20210526-142426-05-8,NMC,PVdF,811,50,Al,CuBFO,100,20,Cu,20,2,0.0683,2.341,2.686,2.972,2.994,1.497,1.769,1.282,1.823,2.128,2.047,1.29,,,,
5,20210527-163546-05-5,LCO,PVdF,811,50,Al,,,,,,,0.0755,0.581,0.629,0.646,0.655,0.665,0.673,0.679,0.684,0.689,0.694,0.708,0.704,0.691,0.656,0.318
6,20210527-163643-05-6,LCO,PVdF,811,50,Al,,,,,,,0.0613,2.085,2.258,2.293,2.282,2.231,2.232,2.2,2.137,2.113,2.025,1.556,1.366,1.165,1.189,1.415
7,20210527-163838-05-7,LCO,PVdF,811,50,Al,,,,,,,0.0622,2.846,2.97,3.051,3.07,3.075,3.072,3.08,3.076,3.059,3.058,2.249,2.703,1.471,1.383,1.158
8,20210527-164401-05-1,LCO,PVdF,811,50,Al,CuBFO,100,20,Cu,20,2,0.0618,0.851,0.888,0.904,0.922,0.926,0.927,0.935,0.928,0.937,0.93,0.912,0.905,0.905,0.696,0.877
9,20210527-164514-05-2,LCO,PVdF,811,50,Al,CuBFO,100,20,Cu,20,2,0.0638,1.527,1.63,1.753,1.793,1.785,1.79,1.778,1.712,1.417,1.457,1.427,1.331,0.987,0.123,0
10,20210527-164702-05-3,LCO,PVdF,811,50,Al,CuBFO,100,20,Cu,20,2,0.0565,0.822,0.873,0.926,0.948,0.976,1.013,1.052,1.083,1.09,1.128,1.288,1.157,0.772,0.329,0.229
11,20210601-120643-06-4,LFP,PVdF,811,50,Al,CuBFO,100,20,Cu,20,2,0.0489,0.446,0.606,0.398,0.398,0.332,0.232,0.175,0.138,0.136,0.078,0.008,,,,
12,20210601-120724-06-6,LFP,PVdF,811,50,Al,CuBFO,100,20,Cu,20,2,0.0479,0.002,0.002,0.169,0.209,0.265,0.017,0.349,0.36,0.015,0.013,,,,,
13,20210601-172310-06-7,LFP,PVdF,811,50,Al,,,,,,,0.0489,0.356,0.416,0.367,0.35,0.212,0.136,0.133,0.135,0.109,0.093,0.208,0.12,0.013,0.005,
14,20210601-172455-06-8,LFP,PVdF,811,50,Al,,,,,,,0.0489,1.551,0.025,0.151,0.008,0.562,1.082,0.52,0.47,0.589,0.63,0.003,0.002,0.002,0.513,0.188
15,20210601-172608-07-1,LFP,PVdF,811,50,Al,CuBFO,100,20,Cu,20,2,0.0486,0.293,0.008,0.006,0.005,0.004,0.003,0.003,0.003,0.003,0.003,0.004,0.003,0.002,0.002,0.002
16,20210601-172640-07-2,LFP,PVdF,811,50,Al,CuBFO,100,20,Cu,20,2,0.0487,0.257,0.13,0.009,0.009,0.009,0.464,0.656,0.01,0.006,0.006,0.647,0.02,0.005,0.004,0.002
17,20210601-172716-07-3,LFP,PVdF,811,50,Cu,,,,,,,0.0585,0.801,0.586,0.359,0.161,0.089,0.106,0.049,0.144,0.14,0.328,0.001,0,0,0,0
18,20210601-172904-07-5,NMC,PVdF,811,50,Cu,,,,,,,0.0752,0.318,0.406,0.362,0.683,0.675,0.584,0.921,0.522,0.338,0.373,0.488,0.446,0.381,0.005,0
19,20210601-172939-07-6,NMC,PVdF,811,50,Cu,,,,,,,0.0798,1.007,1.224,1.131,1.032,2.107,2.168,1.904,1.837,0.402,0.999,3.319,3.36,0.005,0.01,0.014
20,20210601-173102-07-7,NMC,PVdF,811,50,Cu,,,,,,,0.0795,2.14,2.188,1.342,0.979,0.803,0.894,0.584,0.589,2.168,1.203,0.061,0.025,0.024,0.024,0.011
21,20210608-130054-06-1,NMC,PVdF,7-1.5-1.5,25,Cu,,,,,,,0.0707,1.14,0.206,0.653,0,0.001,0.001,0.001,0.001,0.001,0.001,1.106,0.231,0.145,0.264,0.226
22,20210608-130318-06-2,NMC,PVdF,7-1.5-1.5,25,Cu,,,,,,,0.0674,1.161,1.68,2.305,2.622,2.889,2.875,1.212,1.212,3.529,3.648,3.672,2.904,2.373,,
23,20210608-130559-06-3,NMC,PVdF,7-1.5-1.5,25,Cu,,,,,,,0.0666,4.202,4.459,4.543,4.711,4.805,4.854,4.88,4.934,5.089,4.825,5.294,,,,
24,20210608-130911-06-4,NMC,SBR,,25,Cu,,,,,,,0.0686,2.947,3.12,3.013,2.952,2.853,2.728,2.626,2.529,2.425,2.312,1.982,1.237,2.279,,
